DEBUG:eshop.views: blah blah blah (2016-11-22 13:32:18; views.py:12)
WARNING:eshop.views: It is a warning (2016-11-22 13:32:18; views.py:13)
ERROR:eshop.views: All is broken (2016-11-22 13:32:18; views.py:14)
INFO:django.server: "GET /eshop HTTP/1.1" 301 0 (2016-11-22 13:32:56; basehttp.py:131)
INFO:django.server: "GET /eshop/ HTTP/1.1" 200 561 (2016-11-22 13:32:56; basehttp.py:131)
INFO:django.server: "GET /static/eshop/style.css HTTP/1.1" 200 157 (2016-11-22 13:32:56; basehttp.py:131)
INFO:django.server: "GET /static/eshop/images/Gremlin.jpg HTTP/1.1" 200 12133 (2016-11-22 13:32:56; basehttp.py:131)
WARNING:django.server: "GET /eshop/2 HTTP/1.1" 404 2101 (2016-11-22 13:33:00; basehttp.py:131)
INFO:django.server: "GET /admin/ HTTP/1.1" 302 0 (2016-11-22 13:33:08; basehttp.py:131)
INFO:django.server: "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1652 (2016-11-22 13:33:09; basehttp.py:131)
INFO:django.server: "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0 (2016-11-22 13:33:12; basehttp.py:131)
INFO:django.server: "GET /admin/ HTTP/1.1" 200 7129 (2016-11-22 13:33:12; basehttp.py:131)
INFO:django.server: "GET /admin/eshop/order/ HTTP/1.1" 200 4962 (2016-11-22 13:33:14; basehttp.py:131)
INFO:django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3189 (2016-11-22 13:33:14; basehttp.py:131)
INFO:django.server: "GET /admin/eshop/ HTTP/1.1" 200 3492 (2016-11-22 13:33:17; basehttp.py:131)
INFO:django.server: "GET /admin/ HTTP/1.1" 200 7129 (2016-11-22 13:33:19; basehttp.py:131)
